ticker,name,sector,industry,market_cap,pe_ratio,ps_ratio,ev_to_ebitda,roe,profit_margin,debt_to_equity,dividend_yield,rev_growth_qoq,analyst_rec,target_price,current_ratio,quick_ratio,proxy_peg,free_cash_flow,ebit
KIM,Kimco Realty Corporation (HC),Real Estate,REIT - Retail,15741376512,28.3476,7.3554,18.417,0.0554,0.2732,78.678,4.42,0.032,buy,24.4659,0.488,0.488,8.86,,823831000
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,74697875456,24.5073,4.4103,15.16,0.0983,0.1804,99.71,3.5,0.131,buy,33.1905,0.637,0.412,1.87,2891000000,4724000000
KKR,KKR & Co. Inc.,Financial Services,Asset Management,84550295552,39.0192,3.2962,,0.0856,0.0924,68.611,0.77,0.763,buy,140.4016,0.847,0.799,0.51,6508342000,
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,1.81E+11,40.1423,14.1951,32.785,1.0073,0.3576,111.778,0.53,0.072,buy,1666.7,2.828,1.852,5.58,3741694000,4946614000
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,28818266112,,1.1554,8.19,-0.1284,-0.2344,52.1,6.6,-0.034,hold,25.1316,1.154,0.675,,3661000000,-4498000000
KR,Kroger Company (The),Consumer Defensive,Grocery Stores,49429164032,66.0088,0.3347,9.406,0.144,0.0069,415.768,1.96,0.012,buy,74.0952,0.802,0.306,55.01,1777000000,3792000000
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,68356591616,42.8417,3.1263,19.315,0.0819,0.0734,60.611,1.39,0.023,buy,388.1053,1.189,0.838,18.63,2682000000,2529000000
LH,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research,22299271168,25.7161,1.5983,13.116,0.1051,0.0628,75.561,1.04,0.056,buy,307.5882,1.424,0.989,4.59,1206000000,1331600000
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,2.56E+11,41.9035,12.4665,36.275,0.6556,0.3022,44.195,0.48,0.221,buy,274.7419,2.256,1.557,1.9,5414078000,6136332000
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,6428329984,16.7138,0.993,8.287,0.2316,0.0606,224.846,3.33,0.011,buy,54.6364,1.433,0.588,15.19,230100000,665100000
